編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
7805,387000000A,66000,66000000,清水區,租賃房屋,臺中市清水區港埠路三段２０９號二樓之１,0,,,,11209,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1070725,5,92.69,2,2,1,有,有,18298,197,,0,0,此為台中市社會住宅包租代管計畫管理費1702元,5(揭露且明細顯示備註)
7806,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區中清路八段７６０號７樓之２,26.7,住,,,11204,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1060412,6,87.86,2,1,2,有,有,16000,204,坡道機械,19.34,2000,此為社會住宅包租代管,5(揭露且明細顯示備註)
7807,387000000A,66000,66000000,清水區,建物,臺中市清水區港新五路２１３號三樓之３,0,商,,,11208,三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060905,6,97.41,2,2,1,有,有,20000,205,,0,0,台中市政府包租代管計畫 ；每月水電瓦斯、網路費由承租人另外負擔。,5(揭露且明細顯示備註)
7808,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區民族路三段５３號,11.02,商,,,11206,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1090110,3,38.85,0,1,1,有,有,8000,206,,0,0,部分租賃第一層夾層面積20.97平方公尺與夾層增建,5(揭露且明細顯示備註)
7809,387000000A,66000,66000000,清水區,租賃房屋,臺中市清水區港都路１６１號二樓之１,0,,,,11209,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090724,3,74.72,2,1,1,有,有,16200,217,,0,0,,2(資料揭露)
7810,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２８號六樓之５,10.97,商,,,11204,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,82.22,2,2,1,有,有,18000,219,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7811,387000000A,66000,66000000,清水區,建物,臺中市清水區民治路２５號９樓之１,0,住,,,11205,九層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080401,4,95.64,2,2,1,有,有,21000,220,,0,0,住宅及都市更新中心社會住宅包租代管計畫，每月水電瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
7812,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２６號１３樓之７,10.86,商,,,11202,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,0,82.52,2,1,1,有,有,15625,221,坡道平面,32.71,4625,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費、車位租金，費用為承租人另行支付。,5(揭露且明細顯示備註)
7813,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新三路３７號八樓之２,20.62,住,,,11208,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1110216,1,89.53,4,2,2,有,無,20000,223,坡道平面,0,0,,2(資料揭露)
7814,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區忠孝路１７８巷１０號七樓,31.81,住,,,11205,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1081204,3,98.36,2,2,1,有,有,19000,226,坡道機械,16.53,500,社會住宅包租代管公會版(增辦31期),5(揭露且明細顯示備註)
7815,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新五路２１３號１１樓之６,76.97,住,,,11205,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060905,6,76.97,3,2,1,有,有,18000,234,坡道平面,34.34,0,,2(資料揭露)
7816,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區民族路三段１２３號８樓之７,14,住,,,11206,八層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100717,2,80.16,2,2,2,有,無,19000,237,坡道平面,0,0,,2(資料揭露)
7817,387000000A,66000,66000000,清水區,租賃房屋,臺中市清水區五權東路６７號,118.6,住,,,11208,全,4,透天厝,人行道、住宅、停車空間,鋼筋混凝土造,1081223,4,242.35,6,2,6,有,無,58000,239,,0,0,,2(資料揭露)
7818,387000000A,66000,66000000,清水區,建物,臺中市清水區神清路１３-２２號,0,,一般農業區,特定目的事業用地,11202,見其他登記事項,1,廠辦,應回收廢棄物回收業設施,鋼骨造,1020807,10,1671.2,0,0,0,無,無,400000,239,,0,0,,2(資料揭露)
7819,387000000A,66000,66000000,清水區,車位,臺中市清水區民族路三段６３號一樓,12.81,商,,,11203,,0,其他,店舖,鋼筋混凝土造,1090110,3,130.82,0,0,0,有,無,8000,,坡道平面,33.18,8000,,2(資料揭露)
7820,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２６號六樓之５,10.75,商,,,11205,六層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,82.15,2,1,1,有,有,19900,242,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7821,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區鎮北街２３巷２號,94.21,住,,,11208,四層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,820402,30,31,1,0,1,有,無,8000,258,,0,0,,2(資料揭露)
7822,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２８號１０樓之６,21.4,住,,,11207,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,95.93,4,2,2,有,無,25000,261,坡道平面,0,0,,2(資料揭露)
7823,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區鎮北街２３巷２號,94.21,住,,,11207,三層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,820402,30,33,1,0,1,有,無,9000,273,,0,0,,2(資料揭露)
7824,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區港都路１６１號,9.79,住,,,11206,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1090724,3,76.19,1,0,1,有,無,21000,276,,0,0,,2(資料揭露)
7825,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區民族路三段５３號１樓,11.02,商,,,11206,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1090110,3,63.64,0,1,1,有,有,18000,283,,0,0,機車位:B1-153部分租賃 1樓面積45.76平方公尺,5(揭露且明細顯示備註)
7826,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３０號１３樓之３,18.73,住,,,11207,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,84.13,3,2,2,有,無,24000,285,坡道平面,0,0,,2(資料揭露)
7827,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區港新五路２３９號１３樓之８,12.85,住,,,11207,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080327,4,64.26,2,2,1,有,無,18500,288,坡道平面,0,0,,2(資料揭露)
7828,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１３２號２樓之５,10.75,住,,,11207,二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,1,48.27,2,2,1,有,有,15000,311,坡道平面,0,0,,2(資料揭露)
7829,387000000A,66000,66000000,清水區,房地(土地+建物)+車位,臺中市清水區大勇路１２８號五樓之５,10.75,商,,,11203,五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,0,55.87,2,2,1,有,有,17500,313,坡道平面,32.71,0,含管理費、稅金或水電等費用。;,2(資料揭露)
7830,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區大勇路１３８號６樓之１,10646.9,住,,,11203,一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1111006,0,49.23,2,1,1,有,無,16000,325,,0,0,,2(資料揭露)
7831,387000000A,66000,66000000,清水區,房地(土地+建物),臺中市清水區鎮北街２３巷２號,94.21,住,,,11203,二層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,820402,30,24,1,0,1,有,無,8000,333,,0,0,,2(資料揭露)
