編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
2055,387000000A,66000,66000000,北區,建物,臺中市北區五義街１４１號４樓-３,0,住,,,11112,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711209,40,106.9,3,2,2,有,無,10000,94,,0,0,,2(資料揭露)
2056,387000000A,66000,66000000,北區,租賃房屋+車位,臺中市北區忠太東路１１８號２樓之４,0,,,,11209,二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840607,28,221.96,3,2,2,有,有,21000,95,升降機械,0,2000,,2(資料揭露)
2057,387000000A,66000,66000000,北區,建物,臺中市北區進化北路３０５號１１樓之３,0,商,,,11208,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841009,28,136.86,3,1,1,有,有,13000,95,,0,0,社宅案件,5(揭露且明細顯示備註)
2058,387000000A,66000,66000000,北區,車位,臺中市北區三民路三段３０２號等公共設施B５-１５,0,,,,11207,,,其他,,,,1,20.69,0,0,0,有,有,2000,,坡道機械,20.69,2000,,2(資料揭露)
2059,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區太原路三段８６號７樓之２,22.96,住,,,11207,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850206,27,137.54,2,1,1,有,有,13500,98,,0,0,社會住宅包租代管公會版(3期466-1),5(揭露且明細顯示備註)
2060,387000000A,66000,66000000,北區,建物,臺中市北區博館一街４６巷１之３號,0,住,,,11203,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690516,43,61.27,2,2,1,有,無,6000,98,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
2061,387000000A,66000,66000000,北區,租賃房屋,臺中市北區陝西路６５號７樓１號,25.56,住,,,11211,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800130,33,162.04,3,2,2,有,有,16000,99,,0,0,社會住宅包租代管公會版(4期)續租案件;,5(揭露且明細顯示備註)
2062,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施   B１-９,0,,,,11209,,,其他,,,,18,53.81,0,0,0,無,無,3200,,坡道平面,31.88,3200,續租案件;,2(資料揭露)
2063,387000000A,66000,66000000,北區,租賃房屋,臺中市北區興進路７６巷３１之４號,12.86,住,,,11210,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701016,42,98.33,3,2,2,有,無,10000,102,,0,0,續租案件;,2(資料揭露)
2064,387000000A,66000,66000000,北區,建物,臺中市北區文昌東三街１之５號,0,住,,,11204,全,2,透天厝,住家用,加強磚造,770825,35,157.06,4,2,3,有,無,16000,102,,0,0,住宅及都市更新中心社會住宅包租代管計畫 ，每月水電、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
2065,387000000A,66000,66000000,北區,租賃房屋,臺中市北區雙十路二段１００巷７之１０號,0,,,,11211,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711209,41,106.9,3,2,2,有,無,11000,103,,0,0,,2(資料揭露)
2066,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-１８,0,,,,11211,,,其他,,,,18,31.88,0,0,0,無,無,3300,,坡道平面,31.88,3300,停車位清潔費200元/月續租案件;,5(揭露且明細顯示備註)
2067,387000000A,66000,66000000,北區,車位,臺中市北區學士路３１２號等公共設施  B２-３４,0,,,,11210,,,其他,,,,18,63.5,0,0,0,無,無,3300,,坡道平面,31.82,3300,清潔保養費200元續租案件;,5(揭露且明細顯示備註)
2068,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B３-１２９,0,,,,11210,,,其他,,,,18,31.88,0,0,0,無,無,3300,,坡道平面,31.88,3300,其他(清潔費);續租案件;,2(資料揭露)
2069,387000000A,66000,66000000,北區,租賃房屋,臺中市北區國泰街５０之４號,0,,,,11209,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,770210,36,105.83,3,1,2,有,無,11000,104,,0,0,續租案件;,2(資料揭露)
2070,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B３-１２４,0,,,,11209,,,其他,,,,5,50.53,0,0,0,無,無,3000,,坡道平面,28.36,3000,租賃期間有約定不同租金;,2(資料揭露)
2071,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B２-２２２,0,,,,11207,,,其他,,,,5,28.35,0,0,0,有,有,3000,,坡道平面,28.35,3000,,2(資料揭露)
2072,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B２-２２２,0,,,,11208,,,其他,,,,5,28.35,0,0,0,有,有,3000,,坡道平面,28.35,3000,,2(資料揭露)
2073,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B４-４,0,,,,11208,,,其他,,,,5,11.86,0,0,0,無,無,3000,,坡道平面,28.36,3000,,2(資料揭露)
2074,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B３-１３３,0,,,,11207,,,其他,,,,5,28.35,0,0,0,有,無,3000,,坡道平面,28.35,3000,,2(資料揭露)
2075,387000000A,66000,66000000,北區,建物,臺中市北區東光一街７之２號２樓,0,住,,,11206,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,781012,34,132.44,3,2,2,有,有,14200,107,,0,0,台中市政府包租代管計畫。水電費、瓦斯費、網路費皆由承租人負擔。,5(揭露且明細顯示備註)
2076,387000000A,66000,66000000,北區,租賃房屋,臺中市北區忠太東路１１９號１１樓之１１,5.03,住,,,11209,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840607,28,60.85,1,0,1,有,有,6500,107,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
2077,387000000A,66000,66000000,北區,建物,臺中市北區忠太東路１１９號１４樓之４,0,住,,,11207,十四層,21,套房(1房1廳1衛),住家用,鋼筋混凝土造,840607,28,56.26,1,0,1,有,有,6000,107,,0,0,,2(資料揭露)
2078,387000000A,66000,66000000,北區,租賃房屋,臺中市北區自強街４３巷９號,60,住,,,11210,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,0,93.72,2,1,1,有,無,10000,107,,0,0,,2(資料揭露)
2079,387000000A,66000,66000000,北區,租賃房屋,臺中市北區英才路２９０號３樓之４,21.52,住,,,11211,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741224,38,168.39,4,2,2,有,有,18100,107,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,5(揭露且明細顯示備註)
2080,387000000A,66000,66000000,北區,租賃房屋+車位,臺中市北區中清路一段７２６巷１７號５樓之１,26.55,住,,,11209,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,791024,33,183.92,3,2,2,有,有,20000,109,坡道機械,0,0,社會住宅包租代管公會版。多人共同承租;,5(揭露且明細顯示備註)
2081,387000000A,66000,66000000,北區,建物,臺中市北區學士路１７８巷１３之４號,0,住,,,11208,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681220,44,87.25,4,2,2,有,無,9500,109,,0,0,社宅案件,5(揭露且明細顯示備註)
2082,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施    B１-２,0,,,,11208,,,其他,,,,18,51.67,0,0,0,無,無,3500,,坡道平面,31.88,3500,續租案件;,2(資料揭露)
2083,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施   B２-２９,0,,,,11209,,,其他,,,,18,50.88,0,0,0,無,無,3500,,坡道平面,31.88,3500,續租案件;,2(資料揭露)
2084,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-１０,0,,,,11210,,,其他,,,,18,51.41,0,0,0,無,無,3500,,坡道平面,31.88,3500,租金總額含管理費;續租案件;,2(資料揭露)
2085,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-５４,0,,,,11210,,,其他,,,,18,51.02,0,0,0,無,無,3500,,坡道平面,31.88,3500,租金總額含管理費;續租案件;,2(資料揭露)
2086,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-３５,0,,,,11210,,,其他,,,,18,55.93,0,0,0,無,無,3500,,坡道平面,31.88,3500,續租案件;,2(資料揭露)
2087,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施   B２-４７,0,,,,11209,,,其他,,,,18,57.39,0,0,0,無,無,3500,,坡道平面,31.88,3500,,2(資料揭露)
2088,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-４８,0,,,,11210,,,其他,,,,18,31.88,0,0,0,無,無,3500,,坡道平面,31.88,3500,其他(清潔保養費);續租案件;,2(資料揭露)
2089,387000000A,66000,66000000,北區,租賃房屋,臺中市北區永興街３１５巷１０之２號５樓之３,21.53,住,,,11211,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720709,40,77.06,3,2,1,有,無,8500,110,,0,0,社會住宅包租代管公會版(4期229),5(揭露且明細顯示備註)
2090,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B１-０１,0,,,,11210,,,其他,,,,18,31.88,0,0,0,無,無,3500,,坡道平面,31.88,3500,續租案件;,2(資料揭露)
2091,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施   B１-２３,0.52,商,,,11207,,,其他,,,,18,31.88,0,0,0,有,有,3500,,坡道平面,31.88,3500,,2(資料揭露)
2092,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區進化路５５７８號１１樓之１,14.76,住,,,11205,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831026,29,136.67,3,2,2,有,有,15000,110,,0,0,社會住宅包租代管案件租金市價打9折,5(揭露且明細顯示備註)
2093,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施   B２-４,0.52,商,,,11204,,,其他,,,,17,31.88,0,0,0,有,有,3500,,坡道平面,31.88,3500,,2(資料揭露)
2094,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施B１-２０,0.52,商,,,11204,,,其他,,,,17,31.88,0,0,0,有,有,3500,,坡道平面,31.88,3500,,2(資料揭露)
2095,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施B２-２６,0.52,商,,,11204,,,其他,,,,17,31.88,0,0,0,有,有,3500,,坡道平面,31.88,3500,,2(資料揭露)
2096,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施,0.52,商,,,11201,,,其他,,,,17,31.88,0,0,0,有,有,3500,,坡道平面,31.88,3500,,2(資料揭露)
2097,387000000A,66000,66000000,北區,房地(土地+建物)+車位,臺中市北區進化路５９１之１０號,19.35,住,,,11202,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810727,31,179.85,2,2,1,有,有,20000,111,坡道平面,26.46,0,社會住宅包租代管案件租金市價打9折,5(揭露且明細顯示備註)
2098,387000000A,66000,66000000,北區,建物,臺中市北區太原七街２巷５號,94.92,住,,,11207,二層,2,套房(1房1廳1衛),住商用,加強磚造,671102,45,94.92,1,0,0,有,無,10500,111,,0,0,,2(資料揭露)
2099,387000000A,66000,66000000,北區,建物,臺中市北區太原七街２巷５號,94.92,住,,,11105,二層,2,套房(1房1廳1衛),住商用,加強磚造,671102,44,94.92,1,0,0,有,無,10500,111,,0,0,,2(資料揭露)
2100,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區東光東街７５號５樓,13.71,住,,,11208,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831214,29,108.09,3,2,2,有,有,12000,111,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
2101,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區東光東街６７號６樓,13.56,住,,,11205,六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831214,28,106.96,3,2,2,有,有,12000,112,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
2102,387000000A,66000,66000000,北區,建物,臺中市北區篤行路９０巷５號４樓,0,其他,,,11203,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,580620,54,71.4,3,2,1,有,無,8000,112,,0,0,社宅案件,5(揭露且明細顯示備註)
2103,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施 B３-１４７,0,,,,11202,,,其他,,,,4,28.35,0,0,0,有,有,3200,,坡道平面,28.35,3200,含清潔費,5(揭露且明細顯示備註)
2104,387000000A,66000,66000000,北區,車位,臺中市北區北平四街５號等公共設施B２-２１７,0,,,,11210,,,其他,,,,5,50.53,0,0,0,無,無,3200,,坡道平面,28.36,3200,,2(資料揭露)
2105,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區北興街１８６巷２之６號,36.66,住,,,11208,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681211,44,96.78,3,2,2,有,無,11000,114,,0,0,社會住宅包租代管公會版。續租。;,5(揭露且明細顯示備註)
2106,387000000A,66000,66000000,北區,租賃房屋,臺中市北區五權路２５９號１４樓之２,19.65,住,,,11208,十四層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,890705,23,149.26,2,2,2,有,有,17000,114,,0,0,租金總額不含管理費，管理費另計。,5(揭露且明細顯示備註)
2107,387000000A,66000,66000000,北區,租賃房屋,臺中市北區柳川東路四段１３號四樓之７,17.82,住,,,11208,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,741024,38,74.84,2,1,1,有,有,8500,114,,0,0,社會住宅包租代管公會版(3期544-1)續租案件;,5(揭露且明細顯示備註)
2108,387000000A,66000,66000000,北區,房地(土地+建物)+車位,臺中市北區華富街９４巷６號７樓之２,36.02,商,,,11207,見其他登記事項,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870416,25,225.2,3,2,2,有,無,25000,114,坡道平面,14.99,1000,社會住宅包租代管公會版(4期010),5(揭露且明細顯示備註)
2109,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區益華街１６巷２之３號,26.56,住,,,11207,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690619,43,130.57,3,2,2,有,無,15000,115,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2110,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區益華街３９巷２２之１號,40.25,住,,,11208,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,660209,46,96.06,3,2,2,有,有,11000,115,,0,0,社會住宅,5(揭露且明細顯示備註)
2111,387000000A,66000,66000000,北區,租賃房屋,臺中市北區梅亭東街７６巷４號,25.2,住,,,11209,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671207,45,121.71,3,2,2,有,無,14000,115,,0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註)
2112,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施,0.38,商,,,11201,,,其他,,,,17,27.9,0,0,0,有,有,3200,,坡道平面,27.9,3200,,2(資料揭露)
2113,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區德化街１８４號６樓之２,7.21,住,,,11202,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820421,30,143.46,3,2,2,有,有,16500,115,,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費，費用為承租人另行支付。,5(揭露且明細顯示備註)
2114,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３２１號等公共設施  B１-５,0,,,,11210,,,其他,,,,18,96.32,0,0,0,無,無,3700,,坡道平面,31.88,3700,,2(資料揭露)
2115,387000000A,66000,66000000,北區,租賃房屋,臺中市北區北屯路４５號１０樓之１,0,,,,11209,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,721230,40,38.86,2,0,2,有,有,4500,116,,0,0,此為分租套房，實際使用坪數38.86平方公尺，未計入共有部分。租賃建物部分範圍，且未計入共有部分面積;,5(揭露且明細顯示備註)
2116,387000000A,66000,66000000,北區,建物,臺中市北區梅亭街１１３之４號,0,住,,,11208,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711229,41,120.39,3,2,2,有,無,14000,116,,0,0,住宅及都市更新中心社會住宅包租代管計畫；每月水電、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
2117,387000000A,66000,66000000,北區,房地(土地+建物)+車位,臺中市北區梅亭東街５號７樓之５,19.52,住,,,11203,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860130,26,116.27,3,2,2,有,有,13500,116,升降機械,0,0,因此案件為社會住宅包租代管案件因素，此租約訂定金額不含管理費、車位租金費用為承租人另行支付。,5(揭露且明細顯示備註)
2118,387000000A,66000,66000000,北區,建物,臺中市北區英才路２３８號４樓之４,0,住,,,11203,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830907,29,51.2,1,0,1,有,有,6000,117,,0,0,,2(資料揭露)
2119,387000000A,66000,66000000,北區,建物,臺中市北區天祥街２２８之２７號九樓,0,住,,,11208,九層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,851015,27,102.31,3,2,1,有,有,12000,117,,0,0,社宅案件,5(揭露且明細顯示備註)
2120,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B２-１４,0,,,,11210,,,其他,,,,18,27.9,0,0,0,無,無,3300,,坡道平面,27.9,3300,清潔保養費每月200元續租案件;,5(揭露且明細顯示備註)
2121,387000000A,66000,66000000,北區,建物,臺中市北區明智街３０巷２０號４樓,0,住,,,11203,四層,5,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,801125,31,114.66,3,1,2,有,無,13500,118,,0,0,社宅案件此建物被劃分在北區中興段但正確地址是位於西區明智街30巷20號4樓,5(揭露且明細顯示備註)
2122,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區北區漢口路三段１號４樓之２,18.41,住,,,11204,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810601,31,105.82,2,1,2,有,有,12500,118,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2123,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區國瑞街１２４之３號,23.67,住,,,11203,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810426,31,102.01,3,2,1,有,無,12000,118,,0,0,社會住宅計劃案件,5(揭露且明細顯示備註)
2124,387000000A,66000,66000000,北區,房地(土地+建物)+車位,臺中市北區進化北路２３８號９樓之３,73.32,住,,,11202,八層,20,辦公商業大樓,商業用,鋼骨造,800613,32,267.09,0,0,0,無,有,31640,118,坡道機械,0,0,,2(資料揭露)
2125,387000000A,66000,66000000,北區,建物,臺中市北區福龍街９７號８樓之７,0,商,,,11204,八層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,840502,28,88.42,1,0,1,有,有,10500,119,,0,0,因無法新增此地號，特此在這備註：西區後?子子段 0392-0001地號 使用分區為商業區。住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
2126,387000000A,66000,66000000,北區,建物,臺中市北區中清路一段５８６號,0,住,,,11206,全,4,透天厝,住商用,鋼筋混凝土造,761109,36,302.64,9,2,3,有,無,36000,119,,0,0,112/08/13~115/08/12每月參萬陸仟元整115/08/13~118/08/12每月參萬捌仟壹佰陸拾元整118/08/13~119/08/12每月肆萬零肆佰伍拾元整2個月裝潢期(免租金),5(揭露且明細顯示備註)
2127,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區興進路１９１號５樓之３,9.87,住,,,11201,五層,5,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840323,28,117.91,1,1,2,有,有,14000,119,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2128,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區北平路二段２８之５號４樓,30.76,住,,,11202,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,781103,33,150.44,3,2,2,有,有,18000,120,,0,0,社會住宅包租代管公會版(3期增辦),5(揭露且明細顯示備註)
2129,387000000A,66000,66000000,北區,建物,臺中市北區東光一街７之７號８樓,0,住,,,11205,見其他登記事項,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,781012,34,166.45,3,2,2,有,有,20000,120,,0,0,台中市政府社會住宅包租代管計畫 ；水電瓦斯費、網路費及每月管理費2043元皆由承租人另外負擔。,5(揭露且明細顯示備註)
2130,387000000A,66000,66000000,北區,租賃房屋,臺中市北區三民路三段６９號１０樓之１,0,,,,11210,十層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,721125,40,84.98,3,1,2,有,有,10200,120,,0,0,含機車車位1個,5(揭露且明細顯示備註)
2131,387000000A,66000,66000000,北區,租賃房屋,臺中市北區太原路二段２２２巷６之１號,28.64,商,,,11210,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690523,43,100.23,3,2,2,有,無,12000,120,,0,0,社會住宅包租代管公會版(4期205),5(揭露且明細顯示備註)
2132,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區漢口路四段３１８巷２４之２號,27.34,住,,,11206,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771208,35,132.4,3,2,2,有,有,16000,121,,0,0,社會住宅包租代管公會版。,5(揭露且明細顯示備註)
2133,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區五權路３７６之１號７樓,4.76,住,,,11204,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980908,14,177.46,3,2,2,有,有,21500,121,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2134,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區漢口路四段５之１６號４樓之１６,12.94,住,,,11204,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,810622,31,59.91,1,1,1,有,有,7300,122,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
2135,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區健行路８６巷１弄２９之２號,60.06,住,,,11203,三層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,710610,41,160.95,5,2,2,有,無,19800,123,,0,0,社會住宅包租代管公會版(3期),5(揭露且明細顯示備註)
2136,387000000A,66000,66000000,北區,租賃房屋+車位,臺中市北區東成三街２９６號４樓之２１,23.08,住,,,11209,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,821123,30,130.56,2,1,2,有,有,16000,123,坡道平面,0,1000,,2(資料揭露)
2137,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區英才路２９０號１１樓之２,20.13,住,,,11201,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741224,37,154.21,3,2,2,有,有,19000,123,,0,0,社會住宅包租代管案件租金市價打9折，此租約訂定租金不含管理費，費用由承租人另行支付。,5(揭露且明細顯示備註)
2138,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區錦祥街１３之１號,25.44,商,,,11201,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740528,38,89.77,3,2,1,有,無,11000,123,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2139,387000000A,66000,66000000,北區,租賃房屋,臺中市北區民權路３５９巷１０弄９之４號,29.1,住,,,11209,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690530,43,60.57,4,1,1,有,無,7500,124,,0,0,社會住宅包租代管公會版(3期560-1)續租案件;,5(揭露且明細顯示備註)
2140,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區興進路２３０號６樓之５,12.6,商,,,11204,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860402,26,129.12,3,2,1,有,有,16000,124,,0,0,此為社會住宅包租代管,5(揭露且明細顯示備註)
2141,387000000A,66000,66000000,北區,建物,臺中市北區永定一街３０號４樓之２,28.26,住,,,11204,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821122,29,161.21,3,2,2,有,有,20000,124,,0,0,,2(資料揭露)
2142,387000000A,66000,66000000,北區,建物,臺中市北區東光東街６９號９樓,0,住,,,11204,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831214,28,108.09,3,2,2,有,有,13500,125,,0,0,社宅案件,5(揭露且明細顯示備註)
2143,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B３-５７,0.25,商,,,11205,,,其他,,,,17,15.94,0,0,0,有,有,2000,,坡道機械,15.94,2000,,2(資料揭露)
2144,387000000A,66000,66000000,北區,建物,臺中市北區東成路４７巷６號２樓之４,0,住,,,11206,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821028,30,119.82,3,2,2,有,有,15000,125,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費由承租人負擔。,5(揭露且明細顯示備註)
2145,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施    B２-１９,0,,,,11209,,,其他,,,,18,47.69,0,0,0,無,無,3500,,坡道平面,27.9,3500,,2(資料揭露)
2146,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B３-２１,0,,,,11209,,,其他,,,,18,36.8,0,0,0,無,無,2000,,坡道機械,15.94,2000,續租案件;,2(資料揭露)
2147,387000000A,66000,66000000,北區,建物,臺中市北區衛道路２１２號３樓之１,0,住,,,11207,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741211,38,83.74,3,2,2,有,無,10500,125,,0,0,,2(資料揭露)
2148,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施 B２-１５,0,,,,11211,,,其他,,,,18,27.9,0,0,0,無,無,3500,,坡道平面,27.9,3500,其他(清潔保養費);續租案件;,2(資料揭露)
2149,387000000A,66000,66000000,北區,車位,臺中市北區進化北路３１７號等公共設施  B３-１５,0,,,,11211,,,其他,,,,18,15.94,0,0,0,無,無,2000,,坡道機械,15.94,2000,其他(清潔保養費);續租案件;,2(資料揭露)
2150,387000000A,66000,66000000,北區,房地(土地+建物),臺中市北區綏遠路一段１之２號４樓之２,21.16,商,,,11206,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851029,27,131.05,3,2,2,有,有,16500,126,,0,0,社會住宅包租代管公會版。續租。;,5(揭露且明細顯示備註)
2151,387000000A,66000,66000000,北區,建物,臺中市北區東光東街６７號９樓,0,住,,,11204,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831214,28,107.31,3,2,2,有,有,13500,126,坡道機械,0,0,社宅案件,5(揭露且明細顯示備註)
2152,387000000A,66000,66000000,北區,建物,臺中市北區英才路２３８號４樓之３,0,住,,,11205,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830907,29,51.2,1,0,0,無,有,6500,127,,0,0,,2(資料揭露)
2153,387000000A,66000,66000000,北區,租賃房屋,臺中市北區進化北路３０５號３樓之２,0,,,,11208,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841009,28,43.44,1,0,1,有,有,5500,127,,0,0,住宅及都市更新中心辦理社會住宅包租代管計畫。管理費700元。,5(揭露且明細顯示備註)
